COUNTRY,Position.Assistant.Professor,Position.Associate.Professor,Position.Government.employee,Position.Graduate.student,Position.Other,Position.Post.doc,Position.Professor,Position.Researcher,Affiliation.Government.agency,Affiliation.National.lab,Affiliation.Non.governmental.organization,Affiliation.University,Discipline.Agricultural.science.Natural.resources,Discipline.Atmospheric.science...meteorology,Discipline.Biological.Biomedical.sciences,Discipline.Chemistry,Discipline.Computer...information.sciences,Discipline.Engineering,Discipline.Geological...earth.sciences,Discipline.Health.sciences,Discipline.Humanities,Discipline.Mathematics...statistics,Discipline.Ocean.marine.sciences,Discipline.Physics,Discipline.Social.sciences,Journals.Conference.proceedings,Journals.International.journals,Journals.National.research.system.database.journals,Journals.University,Funding.Government,Funding.Industry,Funding.Non.governmental.organizations,Position.Assistant.Professor.1,Position.Associate.Professor.1,Position.Government.employee.1,Position.Graduate.student.1,Position.Other.1,Position.Post.doc.1,Position.Professor.1,Position.Researcher.1,Affiliation.Government.agency.1,Affiliation.National.lab.1,Affiliation.Non.governmental.organization.1,Affiliation.University.1,Discipline.Agricultural.science.Natural.resources.1,Discipline.Atmospheric.science...meteorology.1,Discipline.Biological.Biomedical.sciences.1,Discipline.Chemistry.1,Discipline.Computer...information.sciences.1,Discipline.Engineering.1,Discipline.Geological...earth.sciences.1,Discipline.Health.sciences.1,Discipline.Humanities.1,Discipline.Mathematics...statistics.1,Discipline.Ocean.marine.sciences.1,Discipline.Physics.1,Discipline.Social.sciences.1,Journals.Conference.proceedings.1,Journals.International.journals.1,Journals.National.research.system.database.journals.1,Journals.University.1,Funding.Government.1,Funding.Industry.1,Funding.Non.governmental.organizations.1
Argentina,13,8,1,4,4,12,28,122,10,111,5,66,45,6,56,11,1,4,40,2,3,0,21,2,1,11,173,6,2,181,3,8,0.0677083333,0.0416666667,0.0052083333,0.0208333333,0.0208333333,0.0625,0.1458333333,0.6354166667,0.0520833333,0.578125,0.0260416667,0.34375,0.234375,0.03125,0.2916666667,0.0572916667,0.0052083333,0.0208333333,0.2083333333,0.0104166667,0.015625,0,0.109375,0.0104166667,0.0052083333,0.0572916667,0.9010416667,0.03125,0.0104166667,0.9427083333,0.015625,0.0416666667
Bahamas,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Barbados,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Belize,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Bolivia,1,1,2,0,2,1,4,5,1,0,3,12,6,0,4,2,0,1,3,0,0,0,0,0,0,1,14,0,1,7,0,9,0.0625,0.0625,0.125,0,0.125,0.0625,0.25,0.3125,0.0625,0,0.1875,0.75,0.375,0,0.25,0.125,0,0.0625,0.1875,0,0,0,0,0,0,0.0625,0.875,0,0.0625,0.4375,0,0.5625
Brazil,65,213,16,73,23,61,136,81,30,36,29,573,238,13,114,26,4,115,83,7,3,4,52,1,8,39,531,56,42,621,26,21,0.0973053892,0.3188622754,0.0239520958,0.1092814371,0.0344311377,0.0913173653,0.2035928144,0.121257485,0.0449101796,0.0538922156,0.0434131737,0.8577844311,0.3562874251,0.0194610778,0.1706586826,0.0389221557,0.005988024,0.1721556886,0.124251497,0.0104790419,0.004491018,0.005988024,0.0778443114,0.001497006,0.0119760479,0.0583832335,0.7949101796,0.0838323353,0.0628742515,0.9296407186,0.0389221557,0.0314371257
Canada,0,6,2,5,2,6,8,4,2,0,1,30,3,0,4,0,0,3,15,0,0,1,3,0,4,1,30,1,1,28,2,3,0,0.1818181818,0.0606060606,0.1515151515,0.0606060606,0.1818181818,0.2424242424,0.1212121212,0.0606060606,0,0.0303030303,0.9090909091,0.0909090909,0,0.1212121212,0,0,0.0909090909,0.4545454545,0,0,0.0303030303,0.0909090909,0,0.1212121212,0.0303030303,0.9090909091,0.0303030303,0.0303030303,0.8484848485,0.0606060606,0.0909090909
Chile,8,33,1,3,8,4,25,18,1,6,6,87,26,3,8,5,0,15,18,1,0,0,14,0,10,2,94,1,3,83,6,11,0.08,0.33,0.01,0.03,0.08,0.04,0.25,0.18,0.01,0.06,0.06,0.87,0.26,0.03,0.08,0.05,0,0.15,0.18,0.01,0,0,0.14,0,0.1,0.02,0.94,0.01,0.03,0.83,0.06,0.11
Colombia,3,27,1,7,2,0,11,17,3,2,10,53,17,2,13,1,0,19,9,0,0,0,6,0,1,7,50,9,2,46,7,15,0.0441176471,0.3970588235,0.0147058824,0.1029411765,0.0294117647,0,0.1617647059,0.25,0.0441176471,0.0294117647,0.1470588235,0.7794117647,0.25,0.0294117647,0.1911764706,0.0147058824,0,0.2794117647,0.1323529412,0,0,0,0.0882352941,0,0.0147058824,0.1029411765,0.7352941176,0.1323529412,0.0294117647,0.6764705882,0.1029411765,0.2205882353
Costa Rica,1,4,1,1,1,1,8,0,1,0,1,15,3,3,2,1,0,1,1,0,0,0,3,0,3,0,15,0,2,13,0,4,0.0588235294,0.2352941176,0.0588235294,0.0588235294,0.0588235294,0.0588235294,0.4705882353,0,0.0588235294,0,0.0588235294,0.8823529412,0.1764705882,0.1764705882,0.1176470588,0.0588235294,0,0.0588235294,0.0588235294,0,0,0,0.1764705882,0,0.1764705882,0,0.8823529412,0,0.1176470588,0.7647058824,0,0.2352941176
Cuba,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,1,0,0,1,0,0
Dominican Republic,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Ecuador,1,6,1,3,4,1,14,8,1,2,3,32,10,2,2,0,0,6,9,3,0,0,1,0,5,0,38,0,0,30,0,8,0.0263157895,0.1578947368,0.0263157895,0.0789473684,0.1052631579,0.0263157895,0.3684210526,0.2105263158,0.0263157895,0.0526315789,0.0789473684,0.8421052632,0.2631578947,0.0526315789,0.0526315789,0,0,0.1578947368,0.2368421053,0.0789473684,0,0,0.0263157895,0,0.1315789474,0,1,0,0,0.7894736842,0,0.2105263158
El Salvador,0,0,0,1,0,0,1,3,1,3,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0.2,0,0,0.2,0.6,0.2,0.6,0,0.2,0,0,0.2,0,0,0.2,0,0.6,0,0,0,0,0,0,1,0,0,0.8,0,0.2
French Guiana,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Guatemala,0,0,0,0,1,0,1,1,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0.3333333333,0,0.3333333333,0.3333333333,0.6666666667,0,0,0.3333333333,0.6666666667,0,0,0,0,0.3333333333,0,0,0,0,0,0,0,0.3333333333,0.3333333333,0,0.3333333333,1,0,0
Jamaica,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0.5,0,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5
Martinique,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Mexico,2,5,6,5,11,2,80,144,19,66,7,163,54,7,32,7,2,25,53,6,4,2,33,1,29,6,222,14,13,238,2,15,0.0078431373,0.0196078431,0.0235294118,0.0196078431,0.0431372549,0.0078431373,0.3137254902,0.5647058824,0.0745098039,0.2588235294,0.0274509804,0.6392156863,0.2117647059,0.0274509804,0.1254901961,0.0274509804,0.0078431373,0.0980392157,0.2078431373,0.0235294118,0.0156862745,0.0078431373,0.1294117647,0.0039215686,0.1137254902,0.0235294118,0.8705882353,0.0549019608,0.0509803922,0.9333333333,0.0078431373,0.0588235294
Other,18,31,8,18,11,24,72,53,30,16,14,175,61,9,20,10,2,24,71,0,1,0,19,0,18,1,230,2,2,219,2,14,0.0765957447,0.1319148936,0.0340425532,0.0765957447,0.0468085106,0.1021276596,0.3063829787,0.2255319149,0.1276595745,0.0680851064,0.0595744681,0.7446808511,0.2595744681,0.0382978723,0.085106383,0.0425531915,0.0085106383,0.1021276596,0.3021276596,0,0.0042553191,0,0.0808510638,0,0.0765957447,0.0042553191,0.9787234043,0.0085106383,0.0085106383,0.9319148936,0.0085106383,0.0595744681
Panama,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Paraguay,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Peru,1,4,1,1,0,2,5,6,2,4,3,11,7,1,3,1,0,3,1,0,2,0,2,0,0,2,14,1,3,17,0,3,0.05,0.2,0.05,0.05,0,0.1,0.25,0.3,0.1,0.2,0.15,0.55,0.35,0.05,0.15,0.05,0,0.15,0.05,0,0.1,0,0.1,0,0,0.1,0.7,0.05,0.15,0.85,0,0.15
Puerto Rico,0,0,0,0,0,0,1,2,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0.3333333333,0.6666666667,0.3333333333,0,0,0.6666666667,0.6666666667,0,0.3333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Trinidad and Tobago,0,1,0,0,0,0,1,3,1,0,0,4,0,0,1,0,0,0,1,0,0,0,3,0,0,0,5,0,0,4,0,1,0,0.2,0,0,0,0,0.2,0.6,0.2,0,0,0.8,0,0,0.2,0,0,0,0.2,0,0,0,0.6,0,0,0,1,0,0,0.8,0,0.2
United States,30,32,20,16,18,23,88,41,34,4,27,203,55,10,35,3,0,23,67,4,0,1,35,0,35,3,231,23,11,228,5,35,0.1119402985,0.1194029851,0.0746268657,0.0597014925,0.0671641791,0.0858208955,0.328358209,0.1529850746,0.1268656716,0.0149253731,0.1007462687,0.7574626866,0.2052238806,0.0373134328,0.1305970149,0.0111940299,0,0.0858208955,0.25,0.0149253731,0,0.0037313433,0.1305970149,0,0.1305970149,0.0111940299,0.8619402985,0.0858208955,0.0410447761,0.8507462687,0.0186567164,0.1305970149
Uruguay,5,1,0,0,1,2,3,5,0,2,1,14,5,0,3,3,0,0,1,0,0,0,5,0,0,0,17,0,0,16,0,1,0.2941176471,0.0588235294,0,0,0.0588235294,0.1176470588,0.1764705882,0.2941176471,0,0.1176470588,0.0588235294,0.8235294118,0.2941176471,0,0.1764705882,0.1764705882,0,0,0.0588235294,0,0,0,0.2941176471,0,0,0,1,0,0,0.9411764706,0,0.0588235294
Venezuela,0,2,0,0,0,1,7,2,0,1,1,10,2,1,4,1,0,2,0,0,0,0,2,0,0,0,10,1,1,10,1,1,0,0.1666666667,0,0,0,0.0833333333,0.5833333333,0.1666666667,0,0.0833333333,0.0833333333,0.8333333333,0.1666666667,0.0833333333,0.3333333333,0.0833333333,0,0.1666666667,0,0,0,0,0.1666666667,0,0,0,0.8333333333,0.0833333333,0.0833333333,0.8333333333,0.0833333333,0.0833333333
Virgin Islands,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
